source	target
11238085	3208389
11596102	3208389
11606938	3208389
11709507	3208389
11962683	3208389
12044986	3208389
12423110	3208389
12921622	3208389
13006540	3208389
13024362	3208389
13030042	3208389
13362479	3208389
13664617	3208389
13709790	3208389
13731580	3208389
14148774	3208389
14901646	3208389
34090093	3208389
34091110	3208389
34420582	3208389
34491803	3208389
34626421	3208389
34685162	3208389
34685342	3208389
34766528	3208389
34766892	3208389
34766916	3208389
34766934	3208389
34767028	3208389
35262255	3208389
35480864	3208389
35481057	3208389
35934056	3208389
35941871	3208389
35942010	3208389
35984315	3208389
35984799	3208389
36046129	3208389
36072558	3208389
36072603	3208389
36072750	3208389
36072795	3208389
36072929	3208389
36119548	3208389
36119790	3208389
36120143	3208389
36120200	3208389
36120466	3208389
36120693	3208389
36120706	3208389
36121403	3208389
36136344	3208389
36136716	3208389
36137031	3208389
36137401	3208389
36137511	3208389
36138434	3208389
36138726	3208389
36146472	3208389
36146524	3208389
36148007	3208389
36319874	3208389
36321883	3208389
36378684	3208389
36470719	3208389
36528492	3208389
37073763	3208389
37078083	3208389
37078345	3208389
37096340	3208389
37096836	3208389
37098169	3208389
37098360	3208389
38032144	3208389
38073408	3208389
38140123	3208389
38358591	3208389
38359540	3208389
38359634	3208389
38369912	3208389
38772207	3208389
39740662	3208389
43836339	3208389
47448538	3208389
47617943	3208389
48014235	3208389
48249187	3208389
48657009	3208389
49046683	3208389
49054531	3208389
49057167	3208389
49121821	3208389
49998905	3208389
50120003	3208389
50203708	3208389
54525478	3208389
56649496	3208389
56649519	3208389
57407666	3208389
57409876	3208389
57410058	3208389
57412906	3208389
2753333	3305950
2811790	3305950
2820179	3305950
3855885	3305950
3958031	3305950
3964582	3305950
3964585	3305950
4932500	3305950
5043974	3305950
5137062	3305950
5166122	3305950
5596530	3305950
5597343	3305950
5721500	3305950
5859373	3305950
5865712	3305950
5994481	3305950
6301392	3305950
6372131	3305950
6417959	3305950
6575448	3305950
6588684	3305950
6645347	3305950
6788263	3305950
6790832	3305950
6791852	3305950
6796338	3305950
6801404	3305950
6812127	3305950
6813392	3305950
10375919	3305950
10433608	3305950
11110077	3305950
11497183	3305950
11692591	3305950
11764060	3305950
11903572	3305950
11992033	3305950
12359532	3305950
12975222	3305950
13897376	3305950
14318653	3305950
15090018	3305950
29446022	3305950
30625169	3305950
33999253	3305950
34035475	3305950
